firstName,regionOrigin,countryOriginAlt,subRegionOrigin,countryOrigin,countriesOriginTop
charlotte,Europe,DK,Western Europe,FR,"FR,DK,CM,CH,BE,NL,IE,SE,GB,LB"
melanie,Europe,NL,Western Europe,FR,"FR,NL,CH,DE,CM,AT,GB,BE,ZA,NA"
audrey,Europe,GB,Western Europe,FR,"FR,GB,CM,RU,BE,KE,NL,IE,BY,IL"
liam,Europe,GB,Northern Europe,IE,"IE,GB,IL,NL,GE,AM,MY,NA,BE,TW"
grace,Africa,GB,Eastern Africa,KE,"KE,GB,LR,IE,TZ,CM,BW,NA,TD,CF"
scarlett,Europe,HU,Northern Europe,GB,"GB,HU,ZA,DE,NA,IL,NL,TW,IE,DK"
sebastian,Europe,RO,Western Europe,DE,"DE,RO,AT,CH,FR,DK,SE,PL,NL,BE"
dylan,Europe,IE,Western Europe,NL,"NL,IE,FR,GB,KZ,TW,CM,MY,AZ,BG"
allison,Europe,LR,Northern Europe,GB,"GB,LR,KE,TZ,NA,TW,IL,UZ,FR,IE"
logan,Europe,FR,Northern Europe,GB,"GB,FR,VN,ZA,AZ,TW,RO,MY,CI,TR"
penelope,Europe,NA,Northern Europe,GB,"GB,NA,ZA,FJ,CY,FR,IE,KE,BW,CI"
avery,Asia,TZ,Western Asia,IL,"IL,TZ,AM,GB,MG,RU,EE,ID,BY,IE"
aria,Asia,GE,South-Eastern Asia,ID,"ID,GE,IL,MD,IT,CY,RU,UA,RO,NL"
elijah,Africa,LR,Eastern Africa,KE,"KE,LR,IL,NA,IE,TZ,GB,ID,MY,LB"
amelia,Africa,IL,Western Africa,LR,"LR,IL,ID,GE,RO,NA,IE,TN,IT,SE"
mateo,Europe,IT,Southern Europe,HR,"HR,IT,GE,SI,NA,BG,RO,JP,FR,SK"
lucas,Africa,NA,Eastern Africa,TZ,"TZ,NA,KE,FR,CH,NL,CZ,BE,CM,DE"
oliver,Europe,CH,Western Europe,DE,"DE,CH,EE,AT,DK,RS,RS,GB,SK,MK"
luna,Asia,IL,Western Asia,GE,"GE,IL,HR,ZA,NA,KH,TW,JO,IT,RO"
mila,Europe,RS,Southern Europe,RS,"RS,RS,SK,CZ,BG,GE,AZ,IL,MD,UA"
valentina,Europe,MD,Eastern Europe,RU,"RU,MD,UA,BG,GE,SK,RO,LT,HR,CZ"
santiago,Asia,NA,Western Asia,GE,"GE,NA,IT,HR,BF,EE,CI,NE,ZA,BW"
gianna,Europe,CY,Southern Europe,IT,"IT,CY,GE,CH,RO,SK,IL,BG,NL,AM"
natalia,Europe,MD,Eastern Europe,RU,"RU,MD,UA,GE,IL,BY,BG,NA,SK,UZ"
layla,Asia,AE,Western Asia,AZ,"AZ,AE,IL,BH,LB,SA,UZ,MA,KH,BG"
ezekiel,Africa,KE,Western Africa,LR,"LR,KE,TZ,IL,NA,CM,ET,TD,IE,ZA"
maya,Asia,BG,Western Asia,IL,"IL,BG,AZ,LB,TM,IN,LK,EG,NE,ID"
ezra,Asia,KE,Western Asia,IL,"IL,KE,TZ,ET,MY,NL,MG,ID,BN,UZ"
levi,Asia,GE,Western Asia,IL,"IL,GE,NA,FI,EE,ID,BE,KE,HU,TW"
leo,Europe,NL,Southern Europe,HR,"HR,NL,GE,IL,TW,NA,IT,BW,BE,ZA"
